timestamp,controlpriority sentbytes,maxpriority_1_sentbytes,maxpriority_2_sentbytes,lowpriority_sentbytes
23:15:16.588,1065,,,
23:15:16.784,822,,,
23:15:16.786,1065,,,
23:15:16.988,822,,,
23:15:16.991,1065,,,
23:15:17.182,822,,,
23:15:17.184,1065,,,
23:15:17.305,,259,,
23:15:17.307,822,,,
23:15:17.309,1065,,,
23:15:17.382,822,,,
23:15:17.386,1065,,,
23:15:17.590,822,,,
23:15:17.592,1065,,,
23:15:17.784,822,,,
23:15:17.791,1065,,,
23:15:18.005,822,,,
23:15:18.008,1065,,,
23:15:18.182,822,,,
23:15:18.185,1065,,,
23:15:18.305,,259,,
23:15:18.306,822,,,
23:15:18.309,1065,,,
23:15:18.389,822,,,
23:15:18.394,1065,,,
23:15:18.585,822,,,
23:15:18.587,1065,,,
23:15:18.783,822,,,
23:15:18.788,1065,,,
23:15:18.993,822,,,
23:15:18.999,1065,,,
23:15:19.009,3562,,,
23:15:19.183,822,,,
23:15:19.188,1065,,,
23:15:19.305,,259,,
23:15:19.305,822,,,
23:15:19.307,1065,,,
23:15:19.390,822,,,
23:15:19.392,1065,,,
23:15:19.586,822,,,
23:15:19.588,1065,,,
23:15:19.789,822,,,
23:15:19.793,1065,,,
23:15:19.850,3012,,,
23:15:19.993,822,,,
23:15:19.998,1065,,,
23:15:20.180,822,,,
23:15:20.183,1065,,,
23:15:20.306,,259,,
23:15:20.306,822,,,
23:15:20.310,1065,,,
23:15:20.388,822,,,
23:15:20.390,1065,,,
23:15:20.584,822,,,
23:15:20.588,1065,,,
23:15:20.780,822,,,
23:15:20.782,1065,,,
23:15:20.986,822,,,
23:15:20.987,1065,,,
23:15:21.185,822,,,
23:15:21.187,1065,,,
23:15:21.305,,259,,
23:15:21.306,822,,,
23:15:21.308,1065,,,
23:15:21.386,822,,,
23:15:21.388,1065,,,
23:15:21.581,822,,,
23:15:21.587,1065,,,
23:15:21.783,822,,,
23:15:21.788,1065,,,
23:15:21.987,822,,,
23:15:21.989,1065,,,
23:15:22.208,822,,,
23:15:22.212,1065,,,
23:15:22.233,3247,,,
23:15:22.305,,259,,
23:15:22.306,822,,,
23:15:22.308,1065,,,
23:15:22.394,822,,,
23:15:22.400,1065,,,
23:15:22.584,822,,,
23:15:22.592,1065,,,
23:15:22.790,822,,,
23:15:22.795,1065,,,
23:15:22.986,822,,,
23:15:22.990,1065,,,
23:15:23.187,822,,,
23:15:23.189,1065,,,
23:15:23.304,,259,,
23:15:23.305,822,,,
23:15:23.308,1065,,,
23:15:23.390,822,,,
23:15:23.392,1065,,,
23:15:23.588,822,,,
23:15:23.592,1065,,,
23:15:23.787,822,,,
23:15:23.790,1065,,,
23:15:23.989,822,,,
23:15:23.991,1065,,,
23:15:24.189,822,,,
23:15:24.197,1065,,,
23:15:24.307,,259,,
23:15:24.308,822,,,
23:15:24.310,1065,,,
23:15:24.387,822,,,
23:15:24.389,1065,,,
23:15:24.587,822,,,
23:15:24.589,1065,,,
23:15:24.787,822,,,
23:15:24.789,1065,,,
23:15:24.990,822,,,
23:15:24.997,1065,,,
23:15:25.186,822,,,
23:15:25.197,1065,,,
23:15:25.306,,259,,
23:15:25.306,822,,,
23:15:25.308,1065,,,
23:15:25.388,822,,,
23:15:25.390,1065,,,
23:15:25.594,822,,,
23:15:25.607,1065,,,
23:15:25.787,822,,,
23:15:25.797,1065,,,
23:15:25.998,822,,,
23:15:26.000,1065,,,
23:15:26.207,822,,,
23:15:26.209,1065,,,
23:15:26.305,,259,,
23:15:26.309,822,,,
23:15:26.319,1065,,,
23:15:26.415,822,,,
23:15:26.423,1065,,,
23:15:26.590,822,,,
23:15:26.595,1065,,,
23:15:26.789,822,,,
23:15:26.791,1065,,,
23:15:26.985,822,,,
23:15:26.987,1065,,,
23:15:27.186,822,,,
23:15:27.194,1065,,,
23:15:27.305,,259,,
23:15:27.306,822,,,
23:15:27.315,1065,,,
23:15:27.391,822,,,
23:15:27.399,1065,,,
23:15:27.586,822,,,
23:15:27.589,1065,,,
23:15:27.788,822,,,
23:15:27.790,1065,,,
23:15:27.980,822,,,
23:15:27.984,1065,,,
23:15:28.180,822,,,
23:15:28.187,1065,,,
23:15:28.306,,259,,
23:15:28.306,822,,,
23:15:28.308,1065,,,
23:15:28.386,822,,,
23:15:28.391,1065,,,
23:15:28.583,822,,,
23:15:28.590,1065,,,
23:15:28.787,822,,,
23:15:28.790,1065,,,
23:15:28.983,822,,,
23:15:28.988,1065,,,
23:15:29.188,822,,,
23:15:29.191,1065,,,
23:15:29.387,822,,,
23:15:29.389,1065,,,
23:15:29.585,822,,,
23:15:29.586,1065,,,
23:15:29.785,822,,,
23:15:29.787,1065,,,
23:15:29.981,822,,,
23:15:29.983,1065,,,
23:15:30.180,822,,,
23:15:30.182,1065,,,
23:15:30.392,822,,,
23:15:30.394,1065,,,
23:15:30.580,822,,,
23:15:30.584,1065,,,
23:15:30.783,822,,,
23:15:30.785,1065,,,
23:15:30.985,822,,,
23:15:30.987,1065,,,
23:15:31.183,822,,,
23:15:31.186,1065,,,
23:15:31.363,3247,,,
23:15:31.388,822,,,
23:15:31.394,1065,,,
23:15:31.582,822,,,
23:15:31.585,1065,,,
23:15:31.825,822,,,
23:15:31.826,1065,,,
23:15:31.985,822,,,
23:15:31.988,1065,,,
23:15:32.184,822,,,
23:15:32.185,1065,,,
23:15:32.388,822,,,
23:15:32.390,1065,,,
23:15:32.584,822,,,
23:15:32.587,1065,,,
23:15:32.787,822,,,
23:15:32.790,1065,,,
23:15:32.986,822,,,
23:15:32.989,1065,,,
23:15:33.186,822,,,
23:15:33.187,1065,,,
23:15:33.380,822,,,
23:15:33.382,1065,,,
23:15:33.589,822,,,
23:15:33.590,1065,,,
23:15:33.784,822,,,
23:15:33.790,1065,,,
23:15:33.987,822,,,
23:15:33.988,1065,,,
23:15:34.184,822,,,
23:15:34.189,1065,,,
